LTG_ID,LTG_START,LTG_ZIEL,WIDERSTAND_R_SUM_OHM,REAKTANZ_X_SUM_OHM,NENNSTROM_MIN_A,ERSCHL_STROM_SUM_A,LAENGE_SUM_KM,BAUJAHR_MIN,QUERSCHNITT_MIN_MM2
LY00,UW-006010,ON-025877,0.0051,0.0030,319,0.0690,0.0250,1999,150
MC01,ON-021680,ON-050062,0.2696,0.1582,319,3.6153,1.3100,1999,150
MC03,ON-065875,ON-024492,0.1108,0.0497,208,1.2484,0.3910,1970,95
NA04,UW-021347,SA-012078,1.4509,1.3012,417,38.4141,11.6330,2000,240
NA05,SA-018785,UW-021347,2.0091,1.0435,285,21.6995,8.3250,1983,120
NA06,UW-021347,ON-000456,0.3053,0.3918,535,15.2802,3.9180,,400
NA07,ON-000456,SA-012078,2.2520,1.1357,285,23.0245,8.9770,1984,120
NA08,UW-021347,ON-020168,0.2853,0.1675,319,3.8252,1.3860,1994,150
NA0A,UW-021347,ON-021589,0.8025,1.0304,535,40.1856,10.3040,2001,400
NA0B,UW-021347,ON-000985,0.0205,0.0121,319,0.2760,0.1000,,150
NA14,UW-021347,SA-021350,1.0252,0.9183,417,27.0897,8.2090,2000,240
NA15,UW-021347,SA-021350,0.7609,0.6813,417,20.1003,6.0910,2000,240
NA16,SA-021350,SA-018785,2.3038,1.2309,285,26.3150,9.9420,1983,120
NA17,SA-021350,SA-018785,2.3337,1.3256,285,29.5726,10.8670,1986,120
NA18,SA-018199,ON-026051,0.7840,0.4136,285,8.7143,3.3160,1987,120
NA1A,SA-021350,ON-024252,0.4859,0.4352,417,12.8370,3.8900,2000,240
NA21,UW-021347,SA-015527,0.3351,0.4305,535,16.7895,4.3050,,400
NA22,SA-015527,SA-012078,1.7172,0.9915,285,22.3846,8.1670,1986,120
NA23,UW-021347,SA-015527,2.7295,1.5423,285,34.2794,12.6255,1984,120
NA24,SA-020682,ON-017634,0.7481,0.4391,319,10.0348,3.6360,1989,150
NA25,SA-015527,ON-015866,0.3064,0.1538,285,3.0988,1.2120,1986,120
NA31,UW-021347,SA-021588,0.3475,0.4461,535,17.3979,4.4610,2001,400
NA3A,SA-021588,ON-024205,0.0205,0.0121,319,0.2760,0.1000,2010,150
NB01,UW-014327,SA-016480,2.6307,1.3659,285,28.4209,10.9040,1982,120
NB02,UW-014327,SA-020164,2.5200,2.1769,367,54.6628,18.3700,1996,120
NB21,UW-014327,SA-019692,0.6761,0.6052,417,17.8695,5.4150,1986,240
NB24,SA-019692,UW-014327,1.2133,0.6919,285,15.4940,5.6830,1982,120
NB25,SA-019692,UW-014327,1.1521,0.7339,319,17.8907,6.1890,1982,150
NB26,SA-019692,SA-014340,4.3403,2.4287,285,53.5778,19.8210,1982,120
NB27,SA-014340,SA-019692,4.1536,2.2716,285,49.2511,18.4140,1983,120
NB29,SA-019692,SA-002095,2.6122,1.3790,285,29.0445,11.0520,1984,120
NB31,UW-014327,SA-017297,0.5665,0.5074,417,14.9688,4.5360,1984,240
NB32,SA-017297,ON-009723,0.1908,0.0587,172,1.3788,0.4550,1973,70
NB33,SA-017297,ON-017570,0.3055,0.1794,319,4.1009,1.4860,1989,150
NB34,SA-017297,ON-000536,0.5621,0.5034,417,14.8566,4.5020,1987,240
NB35,ON-000536,ON-000539,0.1849,0.1656,417,4.8873,1.4810,,240
NC01,UW-008978,SA-000006,0.4931,0.7603,609,35.6136,8.0940,,500
NC02,UW-008978,SA-000006,0.4932,0.7604,609,35.6224,8.0960,,500
NC04,UW-008978,SA-001352,4.0264,3.3681,367,71.1224,26.8963,,240
NC05,UW-008978,SA-001352,4.1265,3.4252,367,68.9836,26.9790,1980,120
NC07,UW-008978,SA-014144,0.6459,0.5786,417,17.0676,5.1720,1993,240
NC09,SA-014144,ON-021079,0.4383,0.3925,417,11.5863,3.5110,1993,240
NC0A,UW-008978,ON-020095,0.6348,0.5684,319,16.7689,5.0820,1993,150
NC11,SA-014144,SA-012078,2.5700,1.3421,285,28.0229,10.7220,1983,120
NC13,UW-008978,SA-014144,1.5583,0.9147,319,20.9004,7.5730,1988,150
NC15,SA-014144,SA-012078,1.3914,1.0677,319,29.2542,9.3245,1990,150
NC16,SA-014144,SA-021604,1.6538,0.9710,319,22.1758,8.0350,1989,150
NC22,UW-008978,SA-021604,2.6461,1.6887,319,41.1739,14.2330,1989,150
NC24,UW-008978,SA-009537,4.1193,2.3858,285,53.9608,19.6650,1985,120
NC41,UW-008978,SA-018785,1.6467,0.9665,319,22.0786,8.0000,1988,150
NC51,ON-018399,UW-008978,0.8881,0.5215,319,11.9090,4.3150,1989,150
NC52,ON-018399,SA-018785,1.9000,1.0982,285,24.8251,9.0530,1983,120
NC53,ON-018399,ON-021641,0.2729,0.1602,319,3.6675,1.3290,1989,150
NC54,ON-018399,ON-021646,0.1252,0.0735,319,1.6888,0.6120,1989,150
NC5A,ON-018399,ON-021641,0.2729,0.1602,319,3.6675,1.3290,1989,150
NC5B,ON-018399,ON-021646,0.1252,0.0735,319,1.6888,0.6120,1989,150
NC63,ON-018778,ON-021858,0.2490,0.1461,319,3.3448,1.2120,1990,150
NC64,ON-018778,ON-021855,0.1618,0.0949,319,2.1719,0.7870,1991,150
NC65,ON-018778,ON-020337,0.1816,0.1066,319,2.4369,0.8830,1994,150
NC66,UW-008978,ON-018778,0.2558,0.3282,535,12.7998,3.2820,2004,400
NC6A,UW-008978,ON-018778,0.2558,0.3282,535,12.7998,3.2820,2004,400
NC6B,ON-018778,ON-021858,0.2490,0.1461,319,3.3448,1.2120,1990,150
NC6C,ON-018778,ON-021855,0.1618,0.0949,319,2.1719,0.7870,1991,150
NC6D,ON-018778,ON-020337,0.1816,0.1066,319,2.4369,0.8830,1994,150
